

Watch Newborn
0LLW1 => L => age: 0 => lw: 1 || 1 acctivities 
P21LLW2.1 => L => 21 => match
P21LLW2.2 => L => 21 => match
P21NLW1.1 => N => 21 => match
P21NLW1.2 => N => 21 => match
P21NLW2.1 => N => 21 => match
P21NLW2.2 => N => 21 => match
P21SLW1.2 => S => 21 => match
P21SLW1.3 => S => 21 => match
P21SLW2.1 => S => 21 => match
P21SLW2.2 => S => 21 => match
P21SLW3.1 => S => 21 => match
P21SLW4.1 => S => 21 => match
P21SLW4.2 => S => 21 => match
P21VLW1.1 => V => 21 => match
P21VLW1.2 => V => 21 => match
P21VLW2.1 => V => 21 => match
P21VLW2.2 => V => 21 => match
P21MLW1.1 => M => 21 => match
P21MLW1.2 => M => 21 => match
P21MLW2.1 => M => 21 => match
P21MLW2.2 => M => 21 => match
P21ELW1.1 => E => 21 => match
P21ELW1.2 => E => 21 => match
P21ELW2.1 => E => 21 => match
P21EL12.2 => E => 21 => match


Play 24-26
P24LLW1.1 => L => 24 => match
P24LLW1.2 => L => 24 => match
P24LLW2.1 => L => 24 => match
P24LLW2.2 => L => 24 => match
P24LLW3.1 => L => 24 => match
P24LLW3.2 => L => 24 => match
P24LLW4.1 => L => 24 => match
P24LLW4.2 => L => 24 => match
P24NLW1.2 => N => 24 => match
P24NLW1.1 => N => 24 => match
P24NLW2.1 => N => 24 => match
P24NLW2.2 => N => 24 => match
P24SLW1.1 => S => 24 => match
P24SLW1.2 => S => 24 => match
P24SLW2.1 => S => 24 => match
P24SLW2.2 => S => 24 => match
P24SLW2.3 => S => 24 => match
P24SLW2.4 => S => 24 => match
P24SLW3.1 => S => 24 => match
P24SLW3.2 => S => 24 => match
P24VLW1.1 => V => 24 => match
P24VLW1.2 => V => 24 => match
P24VLW2.1 => V => 24 => match
P24VLW2.2 => V => 24 => match
P24VLW3.1 => V => 24 => match
P24VLW3.2 => V => 24 => match
P24MLW1.1 => M => 24 => match
P24MLW1.2 => M => 24 => match
P24MLW2.1 => M => 24 => match
P24MLW2.2 => M => 24 => match
P24ELW1.1 => E => 24 => match
P24ELW1.2 => E => 24 => match
P24ELW2.1 => E => 24 => match
P24ELW2.2 => E => 24 => match


Play 27-29
P27LLW1.1 => L => 27 => match
P27LLW1.2 => L => 27 => match
P27LLW2.1 => L => 27 => match
P27LLW2.2 => L => 27 => match
P27LLW3.1 => L => 27 => match
P27LLW3.2 => L => 27 => match
P27NLW1.1 => N => 27 => match
P27NLW1.2 => N => 27 => match
P27NLW2.1 => N => 27 => match
P27NLW2.2 => N => 27 => match
P27SLW1.1 => S => 27 => match
P27SLW1.2 => S => 27 => match
P27SLW2.1 => S => 27 => match
P27SLW2.2 => S => 27 => match
P27VLW1.1 => V => 27 => match
P27VLW1.2 => V => 27 => match
P27VLW2.1 => V => 27 => match
P27VLW2.2 => V => 27 => match
P27MLW1.1 => M => 27 => match
P27MLW1.2 => M => 27 => match
P27MLW2.1 => M => 27 => match
P27MLW2.2 => M => 27 => match
P27ELW1.1 => E => 27 => match
P27ELW1.2 => E => 27 => match
P27ELW2.1 => E => 27 => match
P27ELW2.2 => E => 27 => match
P27ELW3.1 => E => 27 => match
P27ELW3.2 => E => 27 => match


Play 30-32
P30LLW1.1 => L => 30 => match
P30LLW1.2 => L => 30 => match
P30LLW2.1 => L => 30 => match
P30LLW2.2 => L => 30 => match
P30LLW3.1 => L => 30 => match
P30LLW3.2 => L => 30 => match
P30NLW1.1 => N => 30 => match
P30NLW1.2 => N => 30 => match
P30NLW2.1 => N => 30 => match
P30NLW2.2 => N => 30 => match
P30NLW3.1 => N => 30 => match
P30NLW3.2 => N => 30 => match
P30SLW1.1 => S => 30 => match
P30SLW1.2 => S => 30 => match
P30SLW2.1 => S => 30 => match
P30SLW2.2 => S => 30 => match
P30VLW1.1 => V => 30 => match
P30VLW1.2 => V => 30 => match
P30VLW2.1 => V => 30 => match
P30VLW2.2 => V => 30 => match
P30MLW1.1 => M => 30 => match
P30MLW1.2 => M => 30 => match
P30MLW2.1 => M => 30 => match
P30MLW2.2 => M => 30 => match
P30ELW1.1 => E => 30 => match
P30ELW1.2 => E => 30 => match
P30ELW2.1 => E => 30 => match
P30ELW2.2 => E => 30 => match


Play 33-35
P33LLW1.1 => L => 33 => match
P33LLW1.2 => L => 33 => match
P33LLW2.1 => L => 33 => match
P33LLW2.2 => L => 33 => match
P33NLW1.1 => N => 33 => match
P33NLW1.2 => N => 33 => match
P33NLW2.1 => N => 33 => match
P33NLW2.2 => N => 33 => match
P33SLW1.1 => S => 33 => match
P33SLW1.2 => S => 33 => match
P33SLW2.1 => S => 33 => match
P33SLW2.2 => S => 33 => match
P33VLW1.1 => V => 33 => match
P33VLW1.2 => V => 33 => match
P33VLW2.1 => V => 33 => match
P33VLW2.2 => V => 33 => match
P33MLW1.1 => M => 33 => match
P33MLW1.2 => M => 33 => match
P33MLW2.1 => M => 33 => match
P33MLW2.2 => M => 33 => match
P33ELW1.1 => E => 33 => match
P33ELW2.1 => E => 33 => match
P33ELW2.2 => E => 33 => match


Play 36-41
P36LLW1.1 => L => 36 => match
P36LLW1.2 => L => 36 => match
P36LLW2.1 => L => 36 => match
P36LLW2.2 => L => 36 => match
P36NLW1.1 => N => 36 => match
P36NLW1.2 => N => 36 => match
P36NLW2.1 => N => 36 => match
P36NLW2.2 => N => 36 => match
P36SLW1.1 => S => 36 => match
P36SLW1.2 => S => 36 => match
P36SLW2.1 => S => 36 => match
P36SLW2.2 => S => 36 => match
P36VLW1.1 => V => 36 => match
P36VLW1.2 => V => 36 => match
P36VLW2.1 => V => 36 => match
P36VLW2.2 => V => 36 => match
P36MLW1.1 => M => 36 => match
P36MLW1.2 => M => 36 => match
P36MLW2.1 => M => 36 => match
P36MLW2.2 => M => 36 => match
P36ELW1.1 => E => 36 => match
P36ELW2.1 => E => 36 => match


Play 42-47
P42LLW1.1 => L => 42 => match
P42LLW1.2 => L => 42 => match
P42LLW2.1 => L => 42 => match
P42LLW2.2 => L => 42 => match
P42LLW3.1 => L => 42 => match
P42LLW3.2 => L => 42 => match
P42NLW1.1 => N => 42 => match
P42NLW1.2 => N => 42 => match
P42NLW2.1 => N => 42 => match
P42NLW2.2 => N => 42 => match
P42SLW1.1 => S => 42 => match
P42SLW1.2 => S => 42 => match
P42SLW2.1 => S => 42 => match
P42SLW2.2 => S => 42 => match
P42VLW1.1 => V => 42 => match
P42VLW1.2 => V => 42 => match
P42VLW2.1 => V => 42 => match
P42VLW2.2 => V => 42 => match
P42MLW1.1 => M => 42 => match
P42MLW1.1 => M => 42 => match
P42MLW1.2 => M => 42 => match
P42MLW1.2 => M => 42 => match
P42ELW1.1 => E => 42 => match
P42ELW1.2 => E => 42 => match
P42ELW2.1 => E => 42 => match
P42ELW2.2 => E => 42 => match


Play 48-53
P48LLW1.1 => L => 48 => match
P48LLW1.2 => L => 48 => match
P48LLW2.1 => L => 48 => match
P48LLW2.2 => L => 48 => match
P48LLW3.1 => L => 48 => match
P48LLW3.2 => L => 48 => match
P48NLW1.1 => N => 48 => match
P48NLW2.1 => N => 48 => match
P48NLW2.2 => N => 48 => match
P48SLW1.1 => S => 48 => match
P48SLW1.2 => S => 48 => match
P48SLW2.1 => S => 48 => match
P48SLW2.2 => S => 48 => match
P48VLW1.1 => V => 48 => match
P48VLW1.2 => V => 48 => match
P48VLW2.1 => V => 48 => match
P48VLW2,2 => V => 48 => match
P48MLW1.1 => M => 48 => match
P48MLW1.2 => M => 48 => match
P48MLW2.1 => M => 48 => match
P48MLW2.2 => M => 48 => match
P48ELW1.1 => E => 48 => match
P48ELW1.2 => E => 48 => match
P48ELW2.1 => E => 48 => match


Play 54-59
P54LLW1.1 => L => 54 => match
P54LLW1.2 => L => 54 => match
P54LLW2.1 => L => 54 => match
P54LLW2.2 => L => 54 => match
P54NLW1.1 => N => 54 => match
P54NLW1.2 => N => 54 => match
P54NLW2.1 => N => 54 => match
P54NLW2.2 => N => 54 => match
P54SLW1.1 => S => 54 => match
P54SLW1.2 => S => 54 => match
P54SLW2.1 => S => 54 => match
P54SLW2.2 => S => 54 => match
P54VLW1.1 => V => 54 => match
P54VLW1.2 => V => 54 => match
P54VLW2.1 => V => 54 => match
P54VLW2.2 => V => 54 => match
P54MLW1.1 => M => 54 => match
P54MLW1.2 => M => 54 => match
P54MLW2.1 => M => 54 => match
P54MLW2.2 => M => 54 => match
P54ELW1.1 => E => 54 => match
P54ELW1.2 => E => 54 => match
P54ELW2.1 => E => 54 => match
P54ELW2.2 => E => 54 => match
